text_01.dat                                                                     
poles     1  1  1
       phi     theta      int
  -185.000     0.810     0.076
  -175.000     0.810     0.076
  -165.000     0.810     0.076
  -155.000     0.810     0.076
  -145.000     0.810     0.076
  -135.000     0.810     0.076
  -125.000     0.810     0.076
  -115.000     0.810     0.076
  -105.000     0.810     0.076
   -95.000     0.810     0.076
   -85.000     0.810     0.076
   -75.000     0.810     0.076
   -65.000     0.810     0.076
   -55.000     0.810     0.076
   -45.000     0.810     0.076
   -35.000     0.810     0.076
   -25.000     0.810     0.076
   -15.000     0.810     0.076
    -5.000     0.810     0.076
     5.000     0.810     0.076
    15.000     0.810     0.076
    25.000     0.810     0.076
    35.000     0.810     0.076
    45.000     0.810     0.076
    55.000     0.810     0.076
    65.000     0.810     0.076
    75.000     0.810     0.076
    85.000     0.810     0.076
    95.000     0.810     0.076
   105.000     0.810     0.076
   115.000     0.810     0.076
   125.000     0.810     0.076
   135.000     0.810     0.076
   145.000     0.810     0.076
   155.000     0.810     0.076
   165.000     0.810     0.076
   175.000     0.810     0.076
   185.000     0.810     0.076
  -185.000    10.798     0.175
  -175.000    10.798     0.136
  -165.000    10.798     0.159
  -155.000    10.798     0.254
  -145.000    10.798     0.359
  -135.000    10.798     0.461
  -125.000    10.798     0.585
  -115.000    10.798     0.568
  -105.000    10.798     0.579
   -95.000    10.798     0.585
   -85.000    10.798     0.593
   -75.000    10.798     0.625
   -65.000    10.798     0.689
   -55.000    10.798     0.732
   -45.000    10.798     0.601
   -35.000    10.798     0.480
   -25.000    10.798     0.354
   -15.000    10.798     0.238
    -5.000    10.798     0.177
     5.000    10.798     0.159
    15.000    10.798     0.195
    25.000    10.798     0.268
    35.000    10.798     0.374
    45.000    10.798     0.471
    55.000    10.798     0.627
    65.000    10.798     0.676
    75.000    10.798     0.760
    85.000    10.798     0.835
    95.000    10.798     0.846
   105.000    10.798     0.771
   115.000    10.798     0.699
   125.000    10.798     0.641
   135.000    10.798     0.567
   145.000    10.798     0.536
   155.000    10.798     0.418
   165.000    10.798     0.269
   175.000    10.798     0.175
   185.000    10.798     0.136
  -185.000    19.719     0.171
  -175.000    19.719     0.155
  -165.000    19.719     0.199
  -155.000    19.719     0.331
  -145.000    19.719     0.550
  -135.000    19.719     0.709
  -125.000    19.719     0.838
  -115.000    19.719     1.234
  -105.000    19.719     1.804
   -95.000    19.719     2.150
   -85.000    19.719     1.941
   -75.000    19.719     1.462
   -65.000    19.719     1.072
   -55.000    19.719     0.871
   -45.000    19.719     0.739
   -35.000    19.719     0.545
   -25.000    19.719     0.367
   -15.000    19.719     0.246
    -5.000    19.719     0.165
     5.000    19.719     0.147
    15.000    19.719     0.218
    25.000    19.719     0.322
    35.000    19.719     0.513
    45.000    19.719     0.913
    55.000    19.719     1.403
    65.000    19.719     2.133
    75.000    19.719     3.194
    85.000    19.719     4.194
    95.000    19.719     4.239
   105.000    19.719     3.108
   115.000    19.719     1.824
   125.000    19.719     1.043
   135.000    19.719     0.745
   145.000    19.719     0.595
   155.000    19.719     0.458
   165.000    19.719     0.296
   175.000    19.719     0.171
   185.000    19.719     0.155
  -185.000    28.966     0.075
  -175.000    28.966     0.080
  -165.000    28.966     0.091
  -155.000    28.966     0.151
  -145.000    28.966     0.324
  -135.000    28.966     0.631
  -125.000    28.966     1.314
  -115.000    28.966     2.459
  -105.000    28.966     3.470
   -95.000    28.966     3.822
   -85.000    28.966     3.306
   -75.000    28.966     2.347
   -65.000    28.966     1.480
   -55.000    28.966     0.842
   -45.000    28.966     0.450
   -35.000    28.966     0.222
   -25.000    28.966     0.137
   -15.000    28.966     0.110
    -5.000    28.966     0.084
     5.000    28.966     0.077
    15.000    28.966     0.129
    25.000    28.966     0.190
    35.000    28.966     0.398
    45.000    28.966     1.021
    55.000    28.966     1.877
    65.000    28.966     2.587
    75.000    28.966     3.253
    85.000    28.966     3.904
    95.000    28.966     3.965
   105.000    28.966     3.146
   115.000    28.966     2.040
   125.000    28.966     1.139
   135.000    28.966     0.604
   145.000    28.966     0.336
   155.000    28.966     0.170
   165.000    28.966     0.092
   175.000    28.966     0.075
   185.000    28.966     0.080
  -185.000    38.303     0.104
  -175.000    38.303     0.097
  -165.000    38.303     0.100
  -155.000    38.303     0.193
  -145.000    38.303     0.625
  -135.000    38.303     1.484
  -125.000    38.303     2.137
  -115.000    38.303     2.174
  -105.000    38.303     1.805
   -95.000    38.303     1.478
   -85.000    38.303     1.371
   -75.000    38.303     1.457
   -65.000    38.303     1.530
   -55.000    38.303     1.282
   -45.000    38.303     0.752
   -35.000    38.303     0.351
   -25.000    38.303     0.194
   -15.000    38.303     0.139
    -5.000    38.303     0.108
     5.000    38.303     0.101
    15.000    38.303     0.156
    25.000    38.303     0.327
    35.000    38.303     0.774
    45.000    38.303     1.545
    55.000    38.303     1.896
    65.000    38.303     1.508
    75.000    38.303     1.098
    85.000    38.303     1.001
    95.000    38.303     1.109
   105.000    38.303     1.251
   115.000    38.303     1.428
   125.000    38.303     1.401
   135.000    38.303     1.106
   145.000    38.303     0.593
   155.000    38.303     0.251
   165.000    38.303     0.130
   175.000    38.303     0.104
   185.000    38.303     0.097
  -185.000    47.678     0.298
  -175.000    47.678     0.269
  -165.000    47.678     0.338
  -155.000    47.678     0.709
  -145.000    47.678     1.887
  -135.000    47.678     3.116
  -125.000    47.678     1.990
  -115.000    47.678     0.751
  -105.000    47.678     0.352
   -95.000    47.678     0.284
   -85.000    47.678     0.259
   -75.000    47.678     0.412
   -65.000    47.678     0.836
   -55.000    47.678     1.961
   -45.000    47.678     2.390
   -35.000    47.678     1.436
   -25.000    47.678     0.748
   -15.000    47.678     0.477
    -5.000    47.678     0.374
     5.000    47.678     0.356
    15.000    47.678     0.514
    25.000    47.678     1.020
    35.000    47.678     1.728
    45.000    47.678     2.426
    55.000    47.678     1.548
    65.000    47.678     0.481
    75.000    47.678     0.217
    85.000    47.678     0.258
    95.000    47.678     0.291
   105.000    47.678     0.337
   115.000    47.678     0.786
   125.000    47.678     1.795
   135.000    47.678     2.333
   145.000    47.678     1.423
   155.000    47.678     0.710
   165.000    47.678     0.379
   175.000    47.678     0.298
   185.000    47.678     0.269
  -185.000    57.071     0.679
  -175.000    57.071     0.762
  -165.000    57.071     1.161
  -155.000    57.071     1.582
  -145.000    57.071     2.733
  -135.000    57.071     3.090
  -125.000    57.071     1.059
  -115.000    57.071     0.218
  -105.000    57.071     0.111
   -95.000    57.071     0.076
   -85.000    57.071     0.077
   -75.000    57.071     0.147
   -65.000    57.071     0.368
   -55.000    57.071     1.575
   -45.000    57.071     2.936
   -35.000    57.071     2.352
   -25.000    57.071     1.770
   -15.000    57.071     1.274
    -5.000    57.071     0.952
     5.000    57.071     0.989
    15.000    57.071     1.210
    25.000    57.071     1.437
    35.000    57.071     1.923
    45.000    57.071     2.104
    55.000    57.071     0.931
    65.000    57.071     0.378
    75.000    57.071     0.144
    85.000    57.071     0.075
    95.000    57.071     0.065
   105.000    57.071     0.105
   115.000    57.071     0.294
   125.000    57.071     1.227
   135.000    57.071     2.743
   145.000    57.071     2.199
   155.000    57.071     1.428
   165.000    57.071     1.021
   175.000    57.071     0.679
   185.000    57.071     0.762
  -185.000    66.474     1.664
  -175.000    66.474     1.863
  -165.000    66.474     1.753
  -155.000    66.474     1.077
  -145.000    66.474     0.873
  -135.000    66.474     0.766
  -125.000    66.474     0.404
  -115.000    66.474     0.281
  -105.000    66.474     0.207
   -95.000    66.474     0.164
   -85.000    66.474     0.131
   -75.000    66.474     0.200
   -65.000    66.474     0.285
   -55.000    66.474     0.591
   -45.000    66.474     0.820
   -35.000    66.474     0.758
   -25.000    66.474     1.057
   -15.000    66.474     1.608
    -5.000    66.474     2.002
     5.000    66.474     1.946
    15.000    66.474     1.334
    25.000    66.474     0.858
    35.000    66.474     0.706
    45.000    66.474     0.617
    55.000    66.474     0.402
    65.000    66.474     0.251
    75.000    66.474     0.217
    85.000    66.474     0.171
    95.000    66.474     0.147
   105.000    66.474     0.154
   115.000    66.474     0.235
   125.000    66.474     0.445
   135.000    66.474     0.780
   145.000    66.474     0.850
   155.000    66.474     1.054
   165.000    66.474     1.511
   175.000    66.474     1.664
   185.000    66.474     1.863
  -185.000    75.882     1.836
  -175.000    75.882     1.770
  -165.000    75.882     1.123
  -155.000    75.882     0.494
  -145.000    75.882     0.372
  -135.000    75.882     0.407
  -125.000    75.882     0.453
  -115.000    75.882     0.489
  -105.000    75.882     0.711
   -95.000    75.882     0.798
   -85.000    75.882     0.821
   -75.000    75.882     0.677
   -65.000    75.882     0.609
   -55.000    75.882     0.524
   -45.000    75.882     0.434
   -35.000    75.882     0.431
   -25.000    75.882     0.604
   -15.000    75.882     1.229
    -5.000    75.882     2.112
     5.000    75.882     1.989
    15.000    75.882     1.155
    25.000    75.882     0.582
    35.000    75.882     0.427
    45.000    75.882     0.462
    55.000    75.882     0.514
    65.000    75.882     0.721
    75.000    75.882     0.954
    85.000    75.882     1.033
    95.000    75.882     0.918
   105.000    75.882     0.844
   115.000    75.882     0.581
   125.000    75.882     0.458
   135.000    75.882     0.378
   145.000    75.882     0.368
   155.000    75.882     0.584
   165.000    75.882     1.145
   175.000    75.882     1.836
   185.000    75.882     1.770
  -185.000    85.294     1.230
  -175.000    85.294     1.278
  -165.000    85.294     0.708
  -155.000    85.294     0.468
  -145.000    85.294     0.426
  -135.000    85.294     0.534
  -125.000    85.294     0.883
  -115.000    85.294     1.570
  -105.000    85.294     2.144
   -95.000    85.294     2.081
   -85.000    85.294     2.098
   -75.000    85.294     2.523
   -65.000    85.294     2.097
   -55.000    85.294     1.036
   -45.000    85.294     0.553
   -35.000    85.294     0.360
   -25.000    85.294     0.345
   -15.000    85.294     0.690
    -5.000    85.294     1.442
     5.000    85.294     1.396
    15.000    85.294     0.749
    25.000    85.294     0.496
    35.000    85.294     0.517
    45.000    85.294     0.591
    55.000    85.294     1.101
    65.000    85.294     2.258
    75.000    85.294     2.595
    85.000    85.294     2.171
    95.000    85.294     2.412
   105.000    85.294     3.053
   115.000    85.294     2.323
   125.000    85.294     0.999
   135.000    85.294     0.533
   145.000    85.294     0.387
   155.000    85.294     0.399
   165.000    85.294     0.711
   175.000    85.294     1.230
   185.000    85.294     1.278
  -185.000    94.706     1.442
  -175.000    94.706     1.396
  -165.000    94.706     0.749
  -155.000    94.706     0.496
  -145.000    94.706     0.517
  -135.000    94.706     0.591
  -125.000    94.706     1.101
  -115.000    94.706     2.258
  -105.000    94.706     2.595
   -95.000    94.706     2.171
   -85.000    94.706     2.412
   -75.000    94.706     3.053
   -65.000    94.706     2.323
   -55.000    94.706     0.999
   -45.000    94.706     0.533
   -35.000    94.706     0.387
   -25.000    94.706     0.399
   -15.000    94.706     0.711
    -5.000    94.706     1.230
     5.000    94.706     1.278
    15.000    94.706     0.708
    25.000    94.706     0.468
    35.000    94.706     0.426
    45.000    94.706     0.534
    55.000    94.706     0.883
    65.000    94.706     1.570
    75.000    94.706     2.144
    85.000    94.706     2.081
    95.000    94.706     2.098
   105.000    94.706     2.523
   115.000    94.706     2.097
   125.000    94.706     1.036
   135.000    94.706     0.553
   145.000    94.706     0.360
   155.000    94.706     0.345
   165.000    94.706     0.690
   175.000    94.706     1.442
   185.000    94.706     1.396
text_02.dat                                                                     
poles     1  1  1
       phi     theta      int
  -185.000     0.810     0.212
  -175.000     0.810     0.212
  -165.000     0.810     0.212
  -155.000     0.810     0.212
  -145.000     0.810     0.212
  -135.000     0.810     0.212
  -125.000     0.810     0.212
  -115.000     0.810     0.212
  -105.000     0.810     0.212
   -95.000     0.810     0.212
   -85.000     0.810     0.212
   -75.000     0.810     0.212
   -65.000     0.810     0.212
   -55.000     0.810     0.212
   -45.000     0.810     0.212
   -35.000     0.810     0.212
   -25.000     0.810     0.212
   -15.000     0.810     0.212
    -5.000     0.810     0.212
     5.000     0.810     0.212
    15.000     0.810     0.212
    25.000     0.810     0.212
    35.000     0.810     0.212
    45.000     0.810     0.212
    55.000     0.810     0.212
    65.000     0.810     0.212
    75.000     0.810     0.212
    85.000     0.810     0.212
    95.000     0.810     0.212
   105.000     0.810     0.212
   115.000     0.810     0.212
   125.000     0.810     0.212
   135.000     0.810     0.212
   145.000     0.810     0.212
   155.000     0.810     0.212
   165.000     0.810     0.212
   175.000     0.810     0.212
   185.000     0.810     0.212
  -185.000    10.798     0.285
  -175.000    10.798     0.245
  -165.000    10.798     0.275
  -155.000    10.798     0.359
  -145.000    10.798     0.416
  -135.000    10.798     0.472
  -125.000    10.798     0.546
  -115.000    10.798     0.625
  -105.000    10.798     0.571
   -95.000    10.798     0.745
   -85.000    10.798     0.681
   -75.000    10.798     0.668
   -65.000    10.798     0.680
   -55.000    10.798     0.632
   -45.000    10.798     0.648
   -35.000    10.798     0.475
   -25.000    10.798     0.406
   -15.000    10.798     0.265
    -5.000    10.798     0.260
     5.000    10.798     0.255
    15.000    10.798     0.264
    25.000    10.798     0.331
    35.000    10.798     0.369
    45.000    10.798     0.520
    55.000    10.798     0.625
    65.000    10.798     0.751
    75.000    10.798     0.880
    85.000    10.798     1.014
    95.000    10.798     1.166
   105.000    10.798     1.044
   115.000    10.798     0.903
   125.000    10.798     0.650
   135.000    10.798     0.486
   145.000    10.798     0.515
   155.000    10.798     0.473
   165.000    10.798     0.347
   175.000    10.798     0.285
   185.000    10.798     0.245
  -185.000    19.719     0.281
  -175.000    19.719     0.233
  -165.000    19.719     0.246
  -155.000    19.719     0.322
  -145.000    19.719     0.489
  -135.000    19.719     0.710
  -125.000    19.719     1.168
  -115.000    19.719     1.226
  -105.000    19.719     1.543
   -95.000    19.719     2.157
   -85.000    19.719     1.736
   -75.000    19.719     1.759
   -65.000    19.719     1.236
   -55.000    19.719     0.809
   -45.000    19.719     0.765
   -35.000    19.719     0.521
   -25.000    19.719     0.330
   -15.000    19.719     0.236
    -5.000    19.719     0.186
     5.000    19.719     0.190
    15.000    19.719     0.259
    25.000    19.719     0.441
    35.000    19.719     0.780
    45.000    19.719     0.965
    55.000    19.719     1.340
    65.000    19.719     2.205
    75.000    19.719     3.252
    85.000    19.719     3.550
    95.000    19.719     3.181
   105.000    19.719     2.662
   115.000    19.719     2.056
   125.000    19.719     1.096
   135.000    19.719     0.709
   145.000    19.719     0.539
   155.000    19.719     0.429
   165.000    19.719     0.356
   175.000    19.719     0.281
   185.000    19.719     0.233
  -185.000    28.966     0.102
  -175.000    28.966     0.105
  -165.000    28.966     0.142
  -155.000    28.966     0.270
  -145.000    28.966     0.467
  -135.000    28.966     0.741
  -125.000    28.966     1.383
  -115.000    28.966     2.428
  -105.000    28.966     3.084
   -95.000    28.966     3.723
   -85.000    28.966     2.332
   -75.000    28.966     2.041
   -65.000    28.966     1.646
   -55.000    28.966     1.107
   -45.000    28.966     0.678
   -35.000    28.966     0.373
   -25.000    28.966     0.200
   -15.000    28.966     0.117
    -5.000    28.966     0.103
     5.000    28.966     0.125
    15.000    28.966     0.181
    25.000    28.966     0.302
    35.000    28.966     0.539
    45.000    28.966     1.035
    55.000    28.966     1.782
    65.000    28.966     2.829
    75.000    28.966     3.403
    85.000    28.966     3.365
    95.000    28.966     3.248
   105.000    28.966     3.173
   115.000    28.966     2.013
   125.000    28.966     1.337
   135.000    28.966     0.814
   145.000    28.966     0.405
   155.000    28.966     0.240
   165.000    28.966     0.134
   175.000    28.966     0.102
   185.000    28.966     0.105
  -185.000    38.303     0.098
  -175.000    38.303     0.108
  -165.000    38.303     0.149
  -155.000    38.303     0.276
  -145.000    38.303     0.933
  -135.000    38.303     1.612
  -125.000    38.303     1.372
  -115.000    38.303     2.006
  -105.000    38.303     1.993
   -95.000    38.303     1.532
   -85.000    38.303     1.518
   -75.000    38.303     1.422
   -65.000    38.303     1.412
   -55.000    38.303     1.246
   -45.000    38.303     0.838
   -35.000    38.303     0.607
   -25.000    38.303     0.253
   -15.000    38.303     0.155
    -5.000    38.303     0.121
     5.000    38.303     0.125
