
*******   STEP   1      *** AFFINE CALCULATION                 
   13   0.103E-03   0.837E-04   0.888E-03

*******   STEP   2      *** AFFINE CALCULATION                 
    6   0.409E-03   0.100E-03   0.877E-03

*******   STEP   3      *** AFFINE CALCULATION                 
    6   0.370E-03   0.999E-04   0.800E-03

*******   STEP   4      *** AFFINE CALCULATION                 
    6   0.358E-03   0.108E-03   0.775E-03

*******   STEP   5      *** AFFINE CALCULATION                 
    6   0.226E-03   0.109E-03   0.646E-03

*******   STEP   6      *** AFFINE CALCULATION                 
    6   0.213E-03   0.112E-03   0.605E-03

*******   STEP   7      *** AFFINE CALCULATION                 
    6   0.201E-03   0.112E-03   0.513E-03

*******   STEP   8      *** AFFINE CALCULATION                 
    6   0.189E-03   0.112E-03   0.403E-03

*******   STEP   9      *** AFFINE CALCULATION                 
   11   0.830E-04   0.246E-04   0.115E-03

*******   STEP  10      *** AFFINE CALCULATION                 
   11   0.832E-04   0.275E-04   0.142E-03

*******   STEP  11      *** AFFINE CALCULATION                 
   11   0.839E-04   0.307E-04   0.172E-03

*******   STEP  12      *** AFFINE CALCULATION                 
   11   0.809E-04   0.321E-04   0.189E-03

*******   STEP  13      *** AFFINE CALCULATION                 
    6   0.250E-03   0.176E-03   0.935E-03

*******   STEP  14      *** AFFINE CALCULATION                 
    6   0.244E-03   0.175E-03   0.821E-03

*******   STEP  15      *** AFFINE CALCULATION                 
    6   0.244E-03   0.178E-03   0.764E-03

*******   STEP  16      *** AFFINE CALCULATION                 
    6   0.243E-03   0.180E-03   0.709E-03

*******   STEP  17      *** AFFINE CALCULATION                 
    6   0.241E-03   0.180E-03   0.646E-03

*******   STEP  18      *** AFFINE CALCULATION                 
    6   0.246E-03   0.186E-03   0.584E-03

*******   STEP  19      *** AFFINE CALCULATION                 
    6   0.252E-03   0.192E-03   0.518E-03

*******   STEP  20      *** AFFINE CALCULATION                 
    6   0.253E-03   0.195E-03   0.456E-03

*******   STEP  21      *** AFFINE CALCULATION                 
    6   0.247E-03   0.188E-03   0.577E-03

*******   STEP  22      *** AFFINE CALCULATION                 
    6   0.244E-03   0.187E-03   0.521E-03

*******   STEP  23      *** AFFINE CALCULATION                 
    6   0.239E-03   0.184E-03   0.471E-03

*******   STEP  24      *** AFFINE CALCULATION                 
    6   0.247E-03   0.190E-03   0.445E-03

*******   STEP  25      *** AFFINE CALCULATION                 
    6   0.241E-03   0.186E-03   0.422E-03

*******   STEP  26      *** AFFINE CALCULATION                 
    6   0.236E-03   0.182E-03   0.402E-03

*******   STEP  27      *** AFFINE CALCULATION                 
    6   0.229E-03   0.177E-03   0.378E-03

*******   STEP  28      *** AFFINE CALCULATION                 
    5   0.580E-03   0.273E-03   0.426E-03

*******   STEP  29      *** AFFINE CALCULATION                 
    5   0.554E-03   0.263E-03   0.434E-03

*******   STEP  30      *** AFFINE CALCULATION                 
    5   0.538E-03   0.255E-03   0.438E-03

*******   STEP  31      *** AFFINE CALCULATION                 
    5   0.525E-03   0.248E-03   0.440E-03

*******   STEP  32      *** AFFINE CALCULATION                 
    5   0.513E-03   0.241E-03   0.443E-03

*******   STEP  33      *** AFFINE CALCULATION                 
    5   0.500E-03   0.232E-03   0.442E-03

*******   STEP  34      *** AFFINE CALCULATION                 
    5   0.486E-03   0.222E-03   0.428E-03

*******   STEP  35      *** AFFINE CALCULATION                 
    5   0.469E-03   0.209E-03   0.402E-03

*******   STEP  36      *** AFFINE CALCULATION                 
    5   0.452E-03   0.195E-03   0.372E-03

*******   STEP  37      *** AFFINE CALCULATION                 
    5   0.514E-03   0.192E-03   0.569E-03

*******   STEP  38      *** AFFINE CALCULATION                 
    5   0.496E-03   0.179E-03   0.570E-03

*******   STEP  39      *** AFFINE CALCULATION                 
    5   0.478E-03   0.167E-03   0.561E-03

*******   STEP  40      *** AFFINE CALCULATION                 
    5   0.239E-03   0.159E-03   0.834E-03

*******   STEP  41      *** AFFINE CALCULATION                 
    5   0.212E-03   0.135E-03   0.855E-03

*******   STEP  42      *** AFFINE CALCULATION                 
    5   0.216E-03   0.132E-03   0.647E-03

*******   STEP  43      *** AFFINE CALCULATION                 
    5   0.206E-03   0.120E-03   0.655E-03

*******   STEP  44      *** AFFINE CALCULATION                 
    5   0.199E-03   0.112E-03   0.665E-03

*******   STEP  45      *** AFFINE CALCULATION                 
    5   0.193E-03   0.103E-03   0.682E-03

*******   STEP  46      *** AFFINE CALCULATION                 
    5   0.188E-03   0.956E-04   0.703E-03

*******   STEP  47      *** AFFINE CALCULATION                 
    5   0.184E-03   0.894E-04   0.730E-03

*******   STEP  48      *** AFFINE CALCULATION                 
    5   0.159E-03   0.719E-04   0.767E-03

*******   STEP  49      *** AFFINE CALCULATION                 
    5   0.179E-03   0.824E-04   0.820E-03

*******   STEP  50      *** AFFINE CALCULATION                 
    5   0.179E-03   0.819E-04   0.858E-03

*******   STEP  51      *** AFFINE CALCULATION                 
    5   0.181E-03   0.831E-04   0.885E-03
