          S1          S2          D1          D2      angS      angD
 -0.5887E-01  0.9284E+01  0.7052E-04  0.1077E+00     90.36     89.96
  0.1480E+00  0.9275E+01  0.9348E-02  0.1077E+00     89.09     85.04
  0.3688E+00  0.9254E+01  0.1887E-01  0.1073E+00     87.72     80.03
  0.6288E+00  0.9217E+01  0.2850E-01  0.1065E+00     86.10     75.02
  0.9881E+00  0.9141E+01  0.3828E-01  0.1053E+00     83.83     70.01
  0.1618E+01  0.8954E+01  0.4802E-01  0.1030E+00     79.76     65.00
  0.4099E+01  0.7795E+01  0.5682E-01  0.9841E-01     62.26     60.00
  0.6244E+01  0.6410E+01  0.6493E-01  0.9276E-01     45.75     55.01
  0.7220E+01  0.5728E+01  0.7120E-01  0.8482E-01     38.43     49.99
  0.7979E+01  0.5106E+01  0.7643E-01  0.7641E-01     32.61     44.99
  0.8408E+01  0.4572E+01  0.8165E-01  0.6855E-01     28.54     40.01
  0.8674E+01  0.4074E+01  0.8675E-01  0.6076E-01     25.16     35.01
  0.8844E+01  0.3634E+01  0.9139E-01  0.5278E-01     22.34     30.01
  0.8971E+01  0.3240E+01  0.9540E-01  0.4450E-01     19.86     25.01
  0.9070E+01  0.2867E+01  0.9887E-01  0.3601E-01     17.55     20.01
  0.9155E+01  0.2501E+01  0.1018E+00  0.2731E-01     15.28     15.02
  0.9235E+01  0.2107E+01  0.1041E+00  0.1838E-01     12.85     10.01
  0.9316E+01  0.1641E+01  0.1057E+00  0.9249E-02      9.99      5.00
  0.9434E+01  0.9282E+00  0.1060E+00 -0.1653E-04      5.62     -0.01
  0.9472E+01 -0.3309E+00  0.1052E+00 -0.9184E-02     -2.00     -4.99
  0.9359E+01 -0.1601E+01  0.1037E+00 -0.1825E-01     -9.71     -9.98
  0.9137E+01 -0.2690E+01  0.1014E+00 -0.2717E-01    -16.41    -14.99
  0.8810E+01 -0.3585E+01  0.9887E-01 -0.3596E-01    -22.15    -19.99
  0.8433E+01 -0.4249E+01  0.9604E-01 -0.4474E-01    -26.74    -24.98
  0.8083E+01 -0.4746E+01  0.9242E-01 -0.5330E-01    -30.42    -29.97
  0.7749E+01 -0.5185E+01  0.8792E-01 -0.6147E-01    -33.78    -34.96
  0.7381E+01 -0.5614E+01  0.8273E-01 -0.6936E-01    -37.25    -39.98
