 STRAIN  AVACS  MODE1
   0.0000   3.4522   1.0000
   0.0200   3.4543   1.0000
   0.0400   3.4544   1.0000
   0.0600   3.4555   1.0000
   0.0800   3.4537   1.0000
   0.1000   3.4598   1.0000
   0.1200   3.4616   1.0000
   0.1400   3.4663   1.0000
   0.1600   3.4569   1.0000
   0.1800   3.4669   1.0000
   0.2000   3.4751   1.0000
   0.2200   3.4919   1.0000
   0.2400   3.4753   1.0000
   0.2600   3.4861   1.0000
   0.2800   3.4988   1.0000
   0.3000   3.4921   1.0000
   0.3200   3.4879   1.0000
   0.3400   3.5009   1.0000
   0.3600   3.5151   1.0000
   0.3800   3.5168   1.0000
   0.4000   3.5212   1.0000
   0.4200   3.5175   1.0000
   0.4400   3.5324   1.0000
   0.4600   3.5350   1.0000
   0.4800   3.5376   1.0000
   0.5000   3.5343   1.0000
   0.5200   3.5455   1.0000
   0.5400   3.5446   1.0000
   0.5600   3.5517   1.0000
   0.5800   3.5648   1.0000
   0.6000   3.5676   1.0000
   0.6200   3.5585   1.0000
   0.6400   3.5478   1.0000
   0.6600   3.5483   1.0000
   0.6800   3.5474   1.0000
   0.7000   3.5533   1.0000
   0.7200   3.5601   1.0000
   0.7400   3.5656   1.0000
   0.7600   3.5631   1.0000
   0.7800   3.5644   1.0000
   0.8000   3.5599   1.0000
   0.8200   3.5634   1.0000
   0.8400   3.5692   1.0000
   0.8600   3.5687   1.0000
   0.8800   3.5694   1.0000
   0.9000   3.5765   1.0000
   0.9200   3.5780   1.0000
   0.9400   3.5691   1.0000
   0.9600   3.5680   1.0000
   0.9800   3.5715   1.0000
   1.0000   3.5744   1.0000
    STEP   AVACS   MODE1
       1   4.496   1.000
       2   4.496   1.000
       3   4.474   1.000
       4   4.370   1.000
       5   4.284   1.000
       6   4.184   1.000
       7   3.574   1.000
       8   4.087   1.000
       9   4.624   1.000
      10   4.701   1.000
      11   4.743   1.000
      12   4.727   1.000
      13   4.740   1.000
      14   4.709   1.000
      15   4.697   1.000
      16   4.424   1.000
      17   4.293   1.000
      18   4.210   1.000
      19   4.128   1.000
      20   3.573   1.000
      21   3.195   1.000
      22   3.249   1.000
      23   3.537   1.000
      24   3.671   1.000
      25   3.716   1.000
      26   3.730   1.000
      27   3.775   1.000
      28   3.749   1.000
      29   3.719   1.000
      30   3.639   1.000
      31   3.470   1.000
      32   3.358   1.000
      33   3.437   1.000
      34   3.835   1.000
      35   4.091   1.000
      36   4.244   1.000
    STEP   AVACS   MODE1
       1   4.673   1.000
       2   4.687   1.000
       3   4.565   1.000
       4   4.247   1.000
       5   3.919   1.000
       6   3.768   1.000
       7   3.635   1.000
       8   3.518   1.000
       9   3.604   1.000
      10   3.685   1.000
