        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.26995E+01        0.114    0.159    0.193    0.196    0.190    0.000        0.097    0.158    0.125    0.177    0.124    0.000
  0.23091E-01  0.28469E+01        0.115    0.158    0.187    0.197    0.195    0.000        0.098    0.160    0.124    0.174    0.125    0.000
  0.46182E-01  0.29939E+01        0.117    0.157    0.183    0.195    0.199    0.000        0.098    0.160    0.123    0.174    0.127    0.000
  0.69273E-01  0.31419E+01        0.118    0.156    0.179    0.194    0.203    0.000        0.097    0.159    0.121    0.173    0.128    0.000
  0.92363E-01  0.32906E+01        0.120    0.154    0.175    0.192    0.207    0.000        0.096    0.158    0.119    0.173    0.130    0.000
  0.11545E+00  0.34403E+01        0.121    0.152    0.170    0.191    0.210    0.000        0.096    0.157    0.117    0.174    0.131    0.000
  0.13854E+00  0.35898E+01        0.122    0.151    0.165    0.189    0.212    0.000        0.095    0.158    0.115    0.177    0.132    0.000
  0.16163E+00  0.37388E+01        0.123    0.149    0.159    0.186    0.212    0.000        0.096    0.160    0.113    0.181    0.134    0.000
  0.18471E+00  0.38889E+01        0.124    0.146    0.154    0.183    0.213    0.000        0.096    0.161    0.111    0.186    0.136    0.000
  0.20779E+00  0.40398E+01        0.125    0.144    0.148    0.181    0.214    0.000        0.097    0.163    0.109    0.190    0.138    0.000
  0.23088E+00  0.41912E+01        0.126    0.141    0.142    0.178    0.214    0.000        0.097    0.163    0.107    0.195    0.140    0.000
  0.25396E+00  0.43428E+01        0.127    0.139    0.137    0.174    0.215    0.000        0.097    0.164    0.105    0.199    0.142    0.000
  0.27704E+00  0.44946E+01        0.128    0.137    0.132    0.170    0.215    0.000        0.097    0.164    0.103    0.203    0.144    0.000
  0.30012E+00  0.46466E+01        0.129    0.135    0.127    0.166    0.215    0.000        0.097    0.164    0.101    0.207    0.145    0.000
  0.32319E+00  0.47989E+01        0.130    0.133    0.123    0.162    0.215    0.000        0.097    0.164    0.099    0.211    0.147    0.000
  0.34627E+00  0.49514E+01        0.130    0.131    0.120    0.158    0.215    0.000        0.096    0.164    0.097    0.215    0.148    0.000
  0.36935E+00  0.51038E+01        0.131    0.129    0.116    0.154    0.215    0.000        0.096    0.163    0.096    0.219    0.150    0.000
  0.39242E+00  0.52564E+01        0.132    0.128    0.113    0.150    0.215    0.000        0.095    0.162    0.094    0.223    0.151    0.000
  0.41550E+00  0.54093E+01        0.134    0.126    0.110    0.147    0.215    0.000        0.094    0.161    0.092    0.227    0.152    0.000
  0.43857E+00  0.55623E+01        0.135    0.124    0.108    0.143    0.215    0.000        0.093    0.159    0.091    0.232    0.153    0.000
  0.46164E+00  0.57153E+01        0.136    0.123    0.105    0.140    0.215    0.000        0.092    0.157    0.090    0.236    0.154    0.000
  0.48472E+00  0.58680E+01        0.137    0.121    0.103    0.137    0.216    0.000        0.091    0.155    0.088    0.240    0.155    0.000
  0.50779E+00  0.60209E+01        0.138    0.120    0.102    0.133    0.216    0.000        0.090    0.152    0.087    0.245    0.155    0.000
  0.53086E+00  0.61737E+01        0.139    0.119    0.101    0.130    0.216    0.000        0.089    0.150    0.087    0.250    0.156    0.000
  0.55393E+00  0.63264E+01        0.140    0.118    0.099    0.127    0.217    0.000        0.087    0.147    0.086    0.254    0.157    0.000
  0.57700E+00  0.64792E+01        0.142    0.117    0.099    0.124    0.217    0.000        0.086    0.144    0.085    0.259    0.157    0.000
  0.60008E+00  0.66322E+01        0.143    0.116    0.098    0.122    0.218    0.000        0.084    0.141    0.085    0.263    0.158    0.000
  0.62315E+00  0.67859E+01        0.144    0.115    0.097    0.119    0.218    0.000        0.083    0.138    0.084    0.268    0.158    0.000
  0.64622E+00  0.69393E+01        0.146    0.114    0.096    0.117    0.219    0.000        0.081    0.135    0.084    0.273    0.159    0.000
  0.66930E+00  0.70929E+01        0.147    0.113    0.095    0.114    0.220    0.000        0.080    0.132    0.083    0.279    0.159    0.000
  0.69237E+00  0.72466E+01        0.148    0.113    0.095    0.112    0.220    0.000        0.078    0.129    0.082    0.284    0.160    0.000
  0.71544E+00  0.74006E+01        0.150    0.112    0.094    0.110    0.221    0.000        0.077    0.126    0.082    0.289    0.160    0.000
  0.73851E+00  0.75550E+01        0.151    0.111    0.093    0.108    0.222    0.000        0.075    0.123    0.081    0.295    0.161    0.000
  0.76159E+00  0.77097E+01        0.153    0.111    0.093    0.105    0.223    0.000        0.073    0.120    0.081    0.300    0.161    0.000
  0.78466E+00  0.78648E+01        0.154    0.111    0.092    0.103    0.224    0.000        0.072    0.117    0.081    0.305    0.161    0.000
  0.80773E+00  0.80203E+01        0.156    0.110    0.092    0.101    0.225    0.000        0.070    0.114    0.080    0.310    0.162    0.000
  0.83080E+00  0.81769E+01        0.157    0.110    0.092    0.099    0.226    0.000        0.069    0.111    0.080    0.315    0.162    0.000
  0.85387E+00  0.83336E+01        0.159    0.110    0.091    0.097    0.227    0.000        0.067    0.108    0.080    0.319    0.162    0.000
  0.87694E+00  0.84908E+01        0.160    0.109    0.091    0.095    0.229    0.000        0.066    0.106    0.079    0.324    0.162    0.000
