 STRAIN  AVACS  MODE1
   0.0000   3.4939   1.0000
   0.0250   3.4725   1.0000
   0.0500   3.5112   1.0000
   0.0750   3.5404   1.0000
   0.1000   3.5410   1.0000
   0.1250   3.5690   1.0000
   0.1500   3.5526   1.0000
   0.1750   3.5384   1.0000
   0.2000   3.5061   1.0000
   0.2250   3.4766   1.0000
   0.2500   3.4473   1.0000
   0.2750   3.4187   1.0000
   0.3000   3.4118   1.0000
   0.3250   3.3784   1.0000
   0.3500   3.3844   1.0000
   0.3750   3.3595   1.0000
   0.4000   3.3350   1.0000
   0.4250   3.3308   1.0000
   0.4500   3.2940   1.0000
   0.4750   3.3004   1.0000
   0.5000   3.3228   1.0000
   0.5250   3.2826   1.0000
   0.5500   3.2385   1.0000
   0.5750   3.2086   1.0000
   0.6000   3.1901   1.0000
   0.6250   3.1825   1.0000
   0.6500   3.1714   1.0000
   0.6750   3.1510   1.0000
   0.7000   3.1249   1.0000
   0.7250   3.1000   1.0000
   0.7500   3.1097   1.0000
   0.7750   3.0994   1.0000
   0.8000   3.0865   1.0000
   0.8250   3.0592   1.0000
   0.8500   3.0485   1.0000
   0.8750   3.0525   1.0000
   0.9000   3.0518   1.0000
   0.9250   3.0310   1.0000
   0.9500   3.0355   1.0000
   0.9750   3.0211   1.0000
   1.0000   2.9898   1.0000
    STEP   AVACS   MODE1
       1   3.343   1.000
       2   3.155   1.000
       3   2.963   1.000
       4   3.116   1.000
       5   3.341   1.000
       6   3.471   1.000
       7   3.554   1.000
       8   3.568   1.000
       9   3.604   1.000
      10   3.601   1.000
      11   3.529   1.000
      12   3.477   1.000
      13   3.397   1.000
      14   3.189   1.000
      15   2.939   1.000
      16   3.028   1.000
      17   3.258   1.000
      18   3.432   1.000
      19   3.480   1.000
      20   3.519   1.000
      21   3.525   1.000
      22   3.526   1.000
      23   3.498   1.000
      24   3.458   1.000
      25   3.420   1.000
      26   3.244   1.000
      27   3.127   1.000
      28   3.183   1.000
      29   3.424   1.000
      30   3.501   1.000
      31   3.532   1.000
      32   3.562   1.000
      33   3.568   1.000
      34   3.528   1.000
      35   3.497   1.000
      36   3.430   1.000
 STRAIN  AVACS  MODE1
   1.0000   2.9879   1.0000
   1.0250   3.0003   1.0000
   1.0500   2.9957   1.0000
   1.0750   2.9959   1.0000
   1.1000   2.9533   1.0000
   1.1250   2.9506   1.0000
   1.1500   2.9504   1.0000
   1.1750   2.9418   1.0000
   1.2000   2.9241   1.0000
   1.2250   2.9303   1.0000
   1.2500   2.9145   1.0000
   1.2750   2.8840   1.0000
   1.3000   2.8624   1.0000
   1.3250   2.8508   1.0000
   1.3500   2.8399   1.0000
   1.3750   2.8404   1.0000
   1.4000   2.8283   1.0000
   1.4250   2.7930   1.0000
   1.4500   2.7819   1.0000
   1.4750   2.7876   1.0000
   1.5000   2.7695   1.0000
   1.5250   2.7583   1.0000
   1.5500   2.7536   1.0000
   1.5750   2.7470   1.0000
   1.6000   2.7347   1.0000
   1.6250   2.7327   1.0000
   1.6500   2.7368   1.0000
   1.6750   2.7269   1.0000
   1.7000   2.7284   1.0000
   1.7250   2.7132   1.0000
   1.7500   2.7153   1.0000
   1.7750   2.7094   1.0000
   1.8000   2.6991   1.0000
   1.8250   2.7004   1.0000
   1.8500   2.6849   1.0000
   1.8750   2.6586   1.0000
   1.9000   2.6406   1.0000
   1.9250   2.6212   1.0000
   1.9500   2.6214   1.0000
   1.9750   2.6059   1.0000
   2.0000   2.6011   1.0000
    STEP   AVACS   MODE1
       1   2.932   1.000
       2   2.738   1.000
       3   2.811   1.000
       4   3.131   1.000
       5   3.306   1.000
       6   3.515   1.000
       7   3.681   1.000
       8   3.766   1.000
       9   3.692   1.000
      10   3.570   1.000
      11   3.497   1.000
      12   3.395   1.000
      13   3.274   1.000
      14   3.034   1.000
      15   2.967   1.000
      16   3.190   1.000
      17   3.375   1.000
      18   3.613   1.000
      19   3.628   1.000
      20   3.643   1.000
      21   3.642   1.000
      22   3.620   1.000
      23   3.552   1.000
      24   3.398   1.000
      25   3.031   1.000
      26   2.941   1.000
      27   3.019   1.000
      28   3.404   1.000
      29   3.355   1.000
      30   3.351   1.000
      31   3.343   1.000
      32   3.347   1.000
      33   3.354   1.000
      34   3.348   1.000
      35   3.241   1.000
      36   3.026   1.000
